technology,year,parameter,value,unit,source,further description
Ammonia cracker,2050,FOM,4.3,%/year,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",
Ammonia cracker,2050,investment,582504.44,EUR/MW_H2,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 6.",
Ammonia cracker,2050,lifetime,25,years,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",
BioSNG,2050,C in fuel,0.38,per unit,Stoichiometric calculation,
BioSNG,2050,C stored,0.62,per unit,Stoichiometric calculation,
BioSNG,2050,CO2 stored,0.23,tCO2/MWh_th,Stoichiometric calculation,
BioSNG,2050,FOM,1.61,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Fixed O&M"
BioSNG,2050,VOM,1.6,EUR/MWh_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Variable O&M"
BioSNG,2050,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
BioSNG,2050,efficiency,0.7,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Bio SNG"
BioSNG,2050,investment,1500,EUR/kW_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Specific investment"
BioSNG,2050,lifetime,25,years,TODO,"84 Gasif. CFB, Bio-SNG:  Technical lifetime"
BtL,2050,C in fuel,0.32,per unit,Stoichiometric calculation,
BtL,2050,C stored,0.68,per unit,Stoichiometric calculation,
BtL,2050,CO2 stored,0.25,tCO2/MWh_th,Stoichiometric calculation,
BtL,2050,FOM,3,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Fixed O&M"
BtL,2050,VOM,1.06,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Variable O&M"
BtL,2050,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
BtL,2050,efficiency,0.45,per unit,doi:10.1016/j.enpol.2017.05.013,
BtL,2050,investment,2000,EUR/kW_th,doi:10.1016/j.enpol.2017.05.013,"85 Gasif. Ent. Flow FT, liq fu :  Specific investment"
BtL,2050,lifetime,25,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Technical lifetime"
CCGT,2050,FOM,3.25,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M"
CCGT,2050,VOM,4,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M"
CCGT,2050,c_b,2.2,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cb coefficient"
CCGT,2050,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cv coefficient"
